"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 24 00:25:36 EET 2023","Fri Nov 24 00:25:38 EET 2023","2312","tests","test_put_v1_account_token","","","","test_put_v1_account_token",""
"passed","Fri Nov 24 00:25:35 EET 2023","Fri Nov 24 00:25:35 EET 2023","180","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[BbT72qZXZA-L1pAYFndhx@mail.ru-4AHNMAiNMv]",""
"passed","Fri Nov 24 00:25:36 EET 2023","Fri Nov 24 00:25:36 EET 2023","187","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[BbT72qZXZA-L1pAYFndhx@mail.ru-IknGZlUb7t]",""
"passed","Fri Nov 24 00:25:36 EET 2023","Fri Nov 24 00:25:36 EET 2023","149","tests","test_post_v1_account_login","","","","test_post_v1_account_login",""
"passed","Fri Nov 24 00:25:35 EET 2023","Fri Nov 24 00:25:35 EET 2023","186","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[BbT72qZXZA-xb8MU5ZDBk@mail.ru-4AHNMAiNMv]",""
"passed","Fri Nov 24 00:25:35 EET 2023","Fri Nov 24 00:25:35 EET 2023","166","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[BbT72qZXZA-xb8MU5ZDBk@mail.ru-IknGZlUb7t]",""
"broken","Fri Nov 24 00:25:36 EET 2023","Fri Nov 24 00:25:36 EET 2023","0","tests","test_post_v1_account_password_reset","","","","test_post_v1_account_password_reset",""
"broken","Fri Nov 24 00:25:36 EET 2023","Fri Nov 24 00:25:36 EET 2023","0","tests","test_put_v1_account_email","","","","test_put_v1_account_email",""
"passed","Fri Nov 24 00:25:34 EET 2023","Fri Nov 24 00:25:34 EET 2023","196","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[IkPuU6gUpC-L1pAYFndhx@mail.ru-4AHNMAiNMv]",""
"passed","Fri Nov 24 00:25:34 EET 2023","Fri Nov 24 00:25:35 EET 2023","759","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[IkPuU6gUpC-L1pAYFndhx@mail.ru-IknGZlUb7t]",""
"passed","Fri Nov 24 00:25:33 EET 2023","Fri Nov 24 00:25:34 EET 2023","791","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[IkPuU6gUpC-xb8MU5ZDBk@mail.ru-4AHNMAiNMv]",""
"passed","Fri Nov 24 00:25:34 EET 2023","Fri Nov 24 00:25:34 EET 2023","189","tests","test_post_v1_account","TestPostV1Account","","","test_create_and_activated_user_with_random_params[IkPuU6gUpC-xb8MU5ZDBk@mail.ru-IknGZlUb7t]",""
"broken","Fri Nov 24 00:25:36 EET 2023","Fri Nov 24 00:25:36 EET 2023","2","tests","test_post_v1_account_password_change","","","","test_post_v1_account",""
"passed","Fri Nov 24 00:25:32 EET 2023","Fri Nov 24 00:25:32 EET 2023","22","tests","test_db","","","","test_orm",""
"failed","Fri Nov 24 00:25:33 EET 2023","Fri Nov 24 00:25:33 EET 2023","0","tests","test_post_v1_account","TestPostV1Account","","","test_register_and_activate_user",""
"passed","Fri Nov 24 00:25:32 EET 2023","Fri Nov 24 00:25:33 EET 2023","396","tests","test_get_v1_account","","","","test_get_v1_account",""
